,accuracy,precision,recall,f1_score,tempo_segundos
LightGBM,0.9292619303360442,0.9072847682119205,0.758477508650519,0.8262344515642669,12.84
XGBoost,0.9264999232775817,0.8946078431372549,0.7577854671280276,0.8205320344698389,2.47
GradientBoosting,0.9215896885069818,0.9348230912476723,0.6948096885813149,0.797141722905915,3.91
RandomForest,0.919901795304588,0.9206927985414768,0.698961937716263,0.7946498819826908,2.51
LogisticRegression,0.8533067362283259,0.7423191278493558,0.5183391003460207,0.6104319478402608,0.74
SGDClassifier,0.8352002455117385,0.8732394366197183,0.30034602076124567,0.446961894953656,0.61
