,accuracy,precision,recall,f1_score,tempo_segundos
XGBoost,0.9349952666456295,0.9155555555555556,0.7646622123236823,0.8333333333333334,4.66
LightGBM,0.935153045124645,0.9285714285714286,0.7527839643652561,0.8314883148831488,12.73
GradientBoosting,0.9218996528873462,0.8704347826086957,0.7431328878990349,0.801762114537445,9.78
RandomForest,0.9222152098453771,0.875219683655536,0.7394209354120267,0.8016096579476861,3.17
SGDClassifier,0.7999368886083938,0.5200609446419502,0.7602078693392724,0.617611580217129,0.9
LogisticRegression,0.7911012937835279,0.505596107055961,0.771343726800297,0.6108171663727219,0.58
